work;unit;price;description
wall_panel_installation;m²;4500;Szendvicspanel fali elemek szerelése
roof_panel_installation;m²;5000;Szendvicspanel tetőelemek szerelése
concrete_work;m³;14000;Beton bedolgozása és alapozási betonmunka
earthwork;m³;8500;Alapárok vagy munkagödör gépi földmunkája
window_installation;db;25000;Ablak beépítése
door_installation;db;35000;Ajtó beépítése
gate_installation;db;95000;Automata kapu beépítése
starter_profile_installation;m;1000;Indítóprofil szerelése
eaves_installation;m;1400;Eresz- és szegélylemezek szerelése
ridge_installation;m;1600;Gerinclemez szerelése
external_corner_installation;m;1200;Külső sarokprofil szerelése
internal_corner_installation;m;1200;Belső sarokprofil szerelése
opening_trim_installation;m;1800;Ablak-, ajtó- és kapunyílás szegélyezése
metal_frame_installation;m;6500;100×100×3 mm acél váz szerelése
epoxy_floor_installation;m²;3200;Epoxi padlókiegyenlítés kivitelezése
